Vendor_Name,Product_Name,Product_Category,Brand_Name,Number_0f_Unit_Sold,Sold_Dollar_Amount,Avg_Unit_Price_Sold_Amt,Reported_Date,Product_ID
aotnzmkraao-emm.c,netmee1pemnacaefyit-bggbtrsehvhuo(ahtfbaaieomhceitlpb&sttilsnnbvsoopyhin&lerpuiacnisib)v2llmtceaiyvntyik-gibluaeic0tadnliiexept6laopamsoploolcoo6bpnlrwtremmm,pneHlalmspuhe|tSte,aLlKirabse,4,129.52,32.38,2021-01-01 00:00:00,98ZR04L4JB
t-maernc.mzokaoam,eecsrovddo1tgtfb0eorudokeemncrooootecgeoecso%nwvtlevkelddeeed2eiutrgnptvgnewceennefitrgeynivvusrsotiyesadzrctclrsetsgjth0dnirbrmgrrefiielmxotc1ioonrurhkioseln,omdigen|HedB,AAMWN,4,303.6,75.9,2021-01-01 00:00:00,DJ0Q2N8R8B
rmecdotnca-a.iozm,ukamaia6ie-rfpncmhfnroner7l3maicaat.beaclricadao7lréfacdusehrsklooyowfcvesecenooprk,esrCaekiahsBS|enyaWtu|,Brieo,74,1269.07,17.15,2021-01-01 00:00:00,X00Q0WULB8
sncozaat.mcipronumo1Pb-si,0cceupuredklipitfvygrlsgarlepmintc0nncpoi(loeiro.ehnue)1beef8ot,aete|BpeeiakuruyMn|ylE,LGIOEVRRC,5,23.4,4.68,2021-01-01 00:00:00,98ZR04L4JB
t.oeanmmzamcar-ok,lrc-osiaoaw2poerlcrbti0gtcefcogl-ncsneafeeeopstpiaaebgl.loemiferriirlhn-garnrd,Bg|dnHedmioe,dagreBe,4,799.96,199.99,2021-01-01 00:00:00,5G0OOKBQ1T
actrmoo.aazekn-mm,sdkolehtoprixscboagsrfdtcerferrf-ihyunmoy5rognyldrcdfuegegbyeso9lrflhrvgooime.reagbofabsmdomoiepunldsaesrooiroreuaocforamga4tllc,oHgmRse|u,oerdcAn,5,144.95,28.99,2021-01-01 00:00:00,B04HXN806J
ao-tezaram.nockmm,lwn2tulnttfk-ai0oa0akn2riez(et&apiueelnereoslcainiksfc×sotliobnplrcki)adswftsiresestveocgfu4aashlneessn,eH|ddegonmiB,NEKUFA,25,249.75,9.99,2021-01-01 00:00:00,23B0M50TMR
tk.aoemro-anamzcm,asefikebdoohfddleudnhwlaeuwibrrpkatwrptctrykkblatwpamtlhr(lst1oihtoliiaeiomimyp-dmildbetiitnliwtftiwmhsxlwms)tepskfteshaccseulsaiocoaofteiednelh,ctro|AispocSessres,HIWS,45,456.47,10.14,2021-01-01 00:00:00,TM620B98S7
aazmem.tkamc-rnoo,qseieeeztlurtq0rmoev2oanleati&odorpzrivnouo,ptPtCpsuseSi|eal,uoneqVolit,20,459.8,22.99,2021-01-01 00:00:00,B04HXN806J
eak-cmnrmomaoazt.,ipt3doe.amitbcg–geshsihislimhnwowkhughoiarolraoloogmttaapp894itpaerx2shoupelotrigrfzsltgoiosegtwswgiigtditlnblitfgdtxs+ostfmrwwchshirnlykrtidmbrplotarshtuafsto0-rnraitos,t|enemnmvioehLgrgpmiItoH,CSYO+XM,31,2509.96,80.97,2021-01-01 00:00:00,BIBIT01Z4E
nrmocammt-akzea.o,qxwgeworrcbrliroefc-aenrsowiruiaahvrscenbep2tashoctseoprstrips5tenewlalsifuoermtrgaiarliwhen5saroaeborhapcnpekienraaytafdugh1tehwolegclfootta,yknGco|craesSr,rini-ohTPt,5,79.75,15.95,2021-01-01 00:00:00,RPDW0R7BRN
krzcammtoaneoa-m.,fsdesioLeaYnTreCnPSwPm2stEo-(tiu-rPoerirorrierotTrerarrMERnteomFAurklnkaepeFiattGikhyryosomzsihWuQkttaOWapoopBYtegnrE)trBeaCgDnSfo3uan,ciepososAe|cssrtSr,EQY,28,335.72,11.99,2021-01-01 00:00:00,B4TRX04D7R
caarmt.ekmmz-aoon,aspPkoCCaototSeaVelCKagoChSdrstatipahPiioto&delpottCenee,t-oPoenp&li|ScCatstCGkzarieyeh|horrsPps|sc,tCptadoseoCpiPCoah,25,80.0,3.2,2021-01-01 00:00:00,B7HFR1H012
mcoa-m.rtnkemoaza,ibfesnatmrusdrae&eogatellhi8ornbevcnklaoiafancnobwny,ugrmB|a|nrcaayeotsWFene,odoBthWBaksr&y,24,338.15,14.09,2021-01-01 00:00:00,AB0X50AVHY
ctmo-.nermmazokaa,PrrE14mutaLSarehtV.crsouBaen01+arpJFe0t37oetytesaYgranPSduSQ6r4iilhao8C5mCp5gh1dipij0mf98,sas&GTeymo,pjmusae,7,195.93,27.99,2021-01-01 00:00:00,2FYT4B08RP
cdtmi.-mcaznaoreo,isauereeruuvoaloiteedbrtilcanobhoeelmhniprlpmwxh+ilfirlfisvutppmesas,CotBouaS|rphHyraaeiem|a,uealhllMcPit,15,230.8,15.39,2021-01-01 00:00:00,B0G9W67TS6
ta-.rmcemaonomkza,fbdefIa7sCfuTLte.ea3SOruCetmfCee0Izlrieilam-eomteernCoeSFntalaamewq5Crteieewi,r|fvrCrey|eeBaocsoegGfee,efeaeCoflmsteeNt,5,54.95,10.99,2021-01-01 00:00:00,98ZR04L4JB
#NAME?,1em)du'ldsheacasoeoieoypionsxmozao1eylshmssg-rrtmlpuglwo/bsep-3y(ocfsfar4krdrigoluluorsozaraomnennoociemfbnc,ooMshtnhe|nliSeg|C,aBgnLoy,17,264.84,15.58,2021-01-01 00:00:00,18B5N7WC08
#NAME?,ielrtalcsh4knucrettoaiysckofobaeieetop)umkebshnup0rbeegsagwtreluyeatuahlly1ikceaplc-mltsolcnkonypeybr(pbadopsd,luearesctsborEoieCy|sKpor|dtcnm,OSOO-EY,6,119.94,19.99,2021-01-01 00:00:00,KSPKYBB9D0
mcer.okmnaatmao-z,lkakaxsmvosaa8cennlegetreeicraflacncafnhpsyb1iriyera)waioleweieain.egas(aogbwi5rtezbocerrbwzafdrabreiffxriblasaoohnhlrx,aBuety,GALCROIE,23,356.83,15.51,2021-01-01 00:00:00,N6G05LBP8N
om.okcammtezna-ra,neLesthjsiibelgPIAcXgsgRIHietoRSDIcrarstgMFaFurRN)aHdltlRLEt/aite-Pn(BiFrL2btasdtPMhCduEetrsYecDeEaNpkAlouWteghiBe5caltehodyie-wuwzhhlPdnSeEhieno,vtSemtpraIomeHnmyofee|,rifayn,6,119.94,19.99,2021-01-01 00:00:00,W1907B85J9
rkammztocem.-aoan,o.1kisghaiambe107a0cncipa(ii3crlnlboaxr)ommtksfoer,n|yocryaredGC,oreA,21,165.69,7.89,2021-01-01 00:00:00,DB085B8PS2
rammaotza.noce-mk,hrlyrr-oerfrsposcfpas4su)ueehstrreipfosfyercoot0pbpuises-r1hoursreydsskosopg3ueeoct(oskaeibdymdsod,ssryopeTDU|s,eeMiuinMons,25,286.85,11.47,2021-01-01 00:00:00,90B42H1NQM
m.toan-camzekomra,deesclrugkciyeekfdgracsmhvwiecyfreroalcefmsngeedbuucenenswaiiafleireseisercyia-clahnu-uiuftrcdilanegnoerfemfncstnteaiipy,aartek|nBCyuSei,UOHFSIKA,11,93.17,8.47,2021-01-01 00:00:00,2BJV0HG428
aemkao.cmntoa-zrm,gvyrrbopeamrhkwa(dp)irlsooracek/mdclsfgtdei-eueaddpnguooaprirvtfesom&re2tekdonmahlglnngpcesonuiaryspoaunakrfinoit2yiehuowiguswpnnwi3cnyrof,lmpHhlt|eneaeuStsp,sHktlhaorwe,43,945.57,21.99,2021-01-01 00:00:00,0LQAJB8T0M
cazoemk-aa.ntromm,(aticeuennobeovdeeuardrdvbctir)eysidddeurbclgpi1tblrwgenwplpxedmgtvreglteevleailubtpeebpteoswerroasenrloarpgtssoadlisbcydl1mutupbtlsst,dBmgdnei|eoH,baeBdy,4,147.96,36.99,2021-01-01 00:00:00,PLQSB7VZV0
mzoanrcom-mae.kat,reuudkm1ilafrasyenidinpapieft)dswlpimwtcuidnigll(dilaianorscloeikxvorasrppdlronbavir2sor-sw,rCcr|ondeyGya,leFruisd,32,272.36,8.51,2021-01-01 00:00:00,2BJV0HG428
n.aeci-rmozdmaotc,htsafslcensabpsciamktnnoulcpmtcecheewn3dlfhsioaruneaaypligehbtsseatr,keByaSi|runateC,TiuisniFongchh,6,75.23,12.54,2021-01-01 00:00:00,M10XB3XRN7
zoatm-aeakm.onmcr,oseksniyguqyaTRlLkmcrritddekee-droatMDloSesFrSetGnaBaCMetQYi4MdcoyenlhEPwPiieeuhlmi-ksqedoayytsaircOlagussPLLaaGw-ltoysiPOabalaimiNnLefckepnrsee)C4REEtgtautehn(ridMtaeSte,e|pBakyaMeuut,OSORTYM,11,219.78,19.98,2021-01-01 00:00:00,B04HXN806J
aomneaamzkrco-tm.,antv5StPonPbkDtrpafeneliCSlmsoeDBiitmeetaue4oehoia4xv7nrnrR.ioicArinwPgsi(ocwdPSb)rxtoaiaksoTsebCE)occniUvfCohPsslUetherl(or,C|onPslseeCehlsa,onvU,6,59.94,9.99,2021-01-01 00:00:00,8OLB00XIYW
omomzc.nakaemta-r,%nhitlbeuuted.es0ptrleeuo1aciddtkrc/)polu-dufelna1srrideaoiaryitu-5e5nmwoigharfr-kaatfn-hiorrsnfstgihnlorde(l0ssfazermnarethusaa,Fiykarn|CteBaaSceu|e,YAEHRST,3,20.85,6.95,2021-01-01 00:00:00,RBRD0FDR38
a-ca.mcdtorzneoim,pnelcrcleeohciccu-onitaesyhesluoptolldnee1cri(rpao4htaktpnfsbomicsrslibscnsesasnoechupip–i)rrrhpaeatcuyrltkes,tyaeBu,lcPserka,4,32.04,8.01,2021-01-01 00:00:00,08TB8HB47B
otmamazrnmeco-ak.,lanheihemshdiruepueaibonpeoehaaiedebtoeasbnlreeittsotmehpooolttnkatklnumoautnrrsmatncdzanwnsiifmxmpeeoclslesctdmdnltdayltpusrnmts,nc|raF|almsheoCassltcrieeE,ORYGIFT,4,63.96,15.99,2021-01-01 00:00:00,3QC38H9HB0
mc-mraztomnao.kea,fkthpdeplcupronrnsi/iheediepanc&pltncttynnsdrtivnomrwpgeacxaohaafbmwrehkcoieoriaideradotctrrota3ithsliidpsoehtrsuabe,soPeClhCees|sanl,hinShiesw,5,37.45,7.49,2021-01-01 00:00:00,FB7120WM58
moarcome-kzt.aman,itxacp/sylrnhmr1pbainsofgw)rcr1ef/p8vnarrmynprn1iceohrsg/adarlioexm11e1utpxonx/rvofoelgouurosscb/ephl/ididfndiahbeea/dtfidlslehg1iioxp1seai(s1xpet8rircts0rrcotg/,sseolc|cntiperEouCtrm,iRDAS,6,86.94,14.49,2021-01-01 00:00:00,22NFHRB70F
m.mecnazrmoatoak-,sdreobeeitqnipont3euufzeusielltrinevneuqdpedt1cemescheauooietctoeh0cvlilt)lfe/lm/totpdnfoppgdea0(ltinsp%otunrpla,dndH|eoemBgi,INOCIZ,3,149.7,49.9,2021-01-01 00:00:00,V7RGBSMNY0
m.rmicndaotazce-o,wmcasatlsaedc6ocbursn2teok3ww9i'eecmbrfonaovlnlenra3crisa,Celoe|smnhSo|ogWtnih,w-NenaalBec,5,297.5,59.5,2021-01-01 00:00:00,23B0M50TMR
nmaar.caoetkz-omm,2lna8ev8hcktv-elulneeaduganx5a.ynitebgici/8leseuprsnwrnyun2ois,nnllsihoGu|s|grgRteiCSnionh|,NwlncBeeaa-,5,199.85,39.97,2021-01-01 00:00:00,2BJV0HG428
